id,search_image,reference_image,true_x,true_y,patch_size,scale,rotation_deg,noise_sigma,gamma,difficulty
0,search_000.png,reference_000.png,365.5,124.5,95,10.5,0.0,8.784,1.03,easy
1,search_001.png,reference_001.png,530.487,470.47,100,10.0,1.004,2.74,1.016,easy
2,search_002.png,reference_002.png,605.487,282.213,100,10.0,-1.693,6.528,1.076,easy
3,search_003.png,reference_003.png,650.726,339.712,111,9.0,-0.081,6.624,1.066,easy
4,search_004.png,reference_004.png,356.5,191.5,105,9.5,0.0,10.631,0.884,easy
5,search_005.png,reference_005.png,571.0,247.0,100,10.0,0.0,8.135,1.121,easy
6,search_006.png,reference_006.png,328.0,706.0,100,10.0,0.0,10.45,1.074,easy
7,search_007.png,reference_007.png,717.113,129.791,95,10.5,0.993,3.097,0.927,easy
8,search_008.png,reference_008.png,773.309,260.983,111,9.0,-1.139,3.076,0.865,easy
9,search_009.png,reference_009.png,185.5,662.5,91,11.0,0.0,2.319,0.949,easy
10,search_010.png,reference_010.png,878.191,794.471,95,10.5,-0.451,10.471,1.125,easy
11,search_011.png,reference_011.png,497.292,569.492,95,10.5,-0.172,1.677,0.867,easy
12,search_012.png,reference_012.png,239.686,804.075,95,10.5,0.793,8.223,0.995,easy
13,search_013.png,reference_013.png,278.5,699.5,91,11.0,0.0,7.605,1.071,easy
14,search_014.png,reference_014.png,652.393,626.85,91,11.0,1.726,7.271,0.99,easy
15,search_015.png,reference_015.png,633.5,406.5,95,10.5,0.0,1.61,1.013,easy
16,search_016.png,reference_016.png,581.0,358.0,100,10.0,0.0,2.708,0.863,easy
17,search_017.png,reference_017.png,568.876,585.577,111,9.0,1.573,11.925,0.875,easy
18,search_018.png,reference_018.png,452.5,794.5,111,9.0,0.0,4.98,1.018,easy
19,search_019.png,reference_019.png,301.979,329.578,91,11.0,1.17,7.735,1.131,easy
20,search_020.png,reference_020.png,286.0,526.0,100,10.0,0.0,4.764,0.854,easy
21,search_021.png,reference_021.png,670.807,891.154,91,11.0,0.775,9.694,0.896,easy
22,search_022.png,reference_022.png,714.017,671.356,91,11.0,-0.499,9.473,0.923,easy
23,search_023.png,reference_023.png,585.5,614.5,95,10.5,0.0,5.228,1.12,easy
24,search_024.png,reference_024.png,302.518,710.891,91,11.0,-1.603,8.097,1.099,easy
25,search_025.png,reference_025.png,294.355,674.294,111,9.0,-1.978,5.572,0.96,easy
26,search_026.png,reference_026.png,397.229,243.117,100,10.0,-0.498,0.363,0.901,easy
27,search_027.png,reference_027.png,767.663,319.149,111,9.0,-0.989,6.042,1.015,easy
28,search_028.png,reference_028.png,780.791,791.509,91,11.0,1.607,10.169,1.083,easy
29,search_029.png,reference_029.png,644.611,565.764,91,11.0,-1.7,11.111,0.939,easy
30,search_030.png,reference_030.png,553.825,548.078,100,10.0,0.974,10.474,0.981,hard
31,search_031.png,reference_031.png,500.509,497.502,91,11.0,-0.197,8.306,0.878,hard
32,search_032.png,reference_032.png,496.596,496.409,111,9.0,-1.546,8.914,1.01,hard
33,search_033.png,reference_033.png,498.559,503.524,111,9.0,0.968,0.002,1.006,hard
34,search_034.png,reference_034.png,469.5,473.5,105,9.5,0.0,0.367,1.117,hard
35,search_035.png,reference_035.png,545.996,546.004,100,10.0,-0.005,9.288,1.145,hard
36,search_036.png,reference_036.png,497.513,498.478,111,9.0,-0.508,8.539,0.887,hard
37,search_037.png,reference_037.png,476.5,470.5,105,9.5,0.0,7.154,0.939,hard
38,search_038.png,reference_038.png,495.484,501.45,111,9.0,-0.628,3.949,1.033,hard
39,search_039.png,reference_039.png,496.551,497.432,111,9.0,-1.142,1.778,0.877,hard
