id,difficulty,config,error_px,score,ai_fallback,periodic_detected
0,easy,full,0.029,0.844,False,False
0,easy,no_preproc,0.015,0.998,False,False
0,easy,no_multiscale,0.029,0.844,False,False
0,easy,no_subpixel,0.0,0.844,False,False
1,easy,full,0.037,0.852,False,False
1,easy,no_preproc,0.007,0.997,False,False
1,easy,no_multiscale,0.037,0.852,False,False
1,easy,no_subpixel,0.0,0.852,False,False
2,easy,full,0.039,0.867,False,False
2,easy,no_preproc,0.01,0.998,False,False
2,easy,no_multiscale,0.039,0.867,False,False
2,easy,no_subpixel,0.0,0.867,False,False
3,easy,full,0.021,0.845,False,False
3,easy,no_preproc,0.007,0.998,False,False
3,easy,no_multiscale,0.021,0.845,False,False
3,easy,no_subpixel,0.0,0.845,False,False
4,easy,full,0.01,0.836,False,False
4,easy,no_preproc,0.01,0.998,False,False
4,easy,no_multiscale,0.01,0.836,False,False
4,easy,no_subpixel,0.0,0.836,False,False
5,easy,full,0.031,0.863,False,False
5,easy,no_preproc,0.005,0.998,False,False
5,easy,no_multiscale,0.031,0.863,False,False
5,easy,no_subpixel,0.0,0.863,False,False
6,easy,full,0.034,0.861,False,False
6,easy,no_preproc,0.032,0.998,False,False
6,easy,no_multiscale,0.034,0.861,False,False
6,easy,no_subpixel,0.0,0.861,False,False
7,easy,full,0.046,0.848,False,False
7,easy,no_preproc,0.016,0.998,False,False
7,easy,no_multiscale,0.046,0.848,False,False
7,easy,no_subpixel,0.0,0.848,False,False
8,easy,full,0.004,0.83,False,False
8,easy,no_preproc,0.009,0.998,False,False
8,easy,no_multiscale,0.004,0.83,False,False
8,easy,no_subpixel,0.0,0.83,False,False
9,easy,full,0.023,0.823,False,False
9,easy,no_preproc,0.006,0.998,False,False
9,easy,no_multiscale,0.023,0.823,False,False
9,easy,no_subpixel,0.0,0.823,False,False
10,easy,full,0.025,0.834,False,False
10,easy,no_preproc,0.014,0.998,False,False
10,easy,no_multiscale,0.025,0.834,False,False
10,easy,no_subpixel,0.0,0.834,False,False
11,easy,full,0.035,0.847,False,False
11,easy,no_preproc,0.026,0.998,False,False
11,easy,no_multiscale,0.035,0.847,False,False
11,easy,no_subpixel,0.0,0.847,False,False
12,easy,full,0.031,0.835,False,False
12,easy,no_preproc,0.024,0.998,False,False
12,easy,no_multiscale,0.031,0.835,False,False
12,easy,no_subpixel,0.0,0.835,False,False
13,easy,full,0.009,0.866,False,False
13,easy,no_preproc,0.013,0.997,False,False
13,easy,no_multiscale,0.009,0.866,False,False
13,easy,no_subpixel,0.0,0.866,False,False
14,easy,full,0.005,0.874,False,False
14,easy,no_preproc,0.005,0.998,False,False
14,easy,no_multiscale,0.005,0.874,False,False
14,easy,no_subpixel,0.0,0.874,False,False
15,easy,full,0.029,0.828,False,False
15,easy,no_preproc,0.009,0.997,False,False
15,easy,no_multiscale,0.029,0.828,False,False
15,easy,no_subpixel,0.0,0.828,False,False
16,easy,full,0.031,0.863,False,False
16,easy,no_preproc,0.017,0.998,False,False
16,easy,no_multiscale,0.031,0.863,False,False
16,easy,no_subpixel,0.0,0.863,False,False
17,easy,full,0.02,0.849,False,False
17,easy,no_preproc,0.008,0.998,False,False
17,easy,no_multiscale,0.02,0.849,False,False
17,easy,no_subpixel,0.0,0.849,False,False
18,easy,full,0.033,0.836,False,False
18,easy,no_preproc,0.014,0.998,False,False
18,easy,no_multiscale,0.033,0.836,False,False
18,easy,no_subpixel,0.0,0.836,False,False
19,easy,full,0.033,0.836,False,False
19,easy,no_preproc,0.009,0.998,False,False
19,easy,no_multiscale,0.033,0.836,False,False
19,easy,no_subpixel,0.0,0.836,False,False
20,easy,full,0.059,0.849,False,False
